title,slug,page_count,estimated_entry_count
Django Unchained,django-unchained--4529294,114.0,1140.0
12 Years a Slave,12-years-a-slave--4703809,36.0,360.0
Boyhood,boyhood--5299977,43.0,430.0
Mad Max: Fury Road,mad-max-fury-road--5528391,97.0,970.0
The Revenant,the-revenant--5735060,148.0,1480.0
Birdman,birdman--5564037,80.0,800.0
Her,her--5239932,79.0,790.0
The Wolf of Wall Street,the-wolf-of-wall-street--5219353,58.0,580.0
Inside Llewyn Davis,inside-llewyn-davis--5253797,22.0,220.0
Gravity,gravity--5154216,107.0,1070.0
The Grand Budapest Hotel,the-grand-budapest-hotel--5829929,80.0,800.0
Whiplash,whiplash--5730417,13.0,130.0
The Theory of Everything,the-theory-of-everything--5892856,31.0,310.0
Nightcrawler,nightcrawler--5710792,44.0,440.0
Room,room--6020467,39.0,390.0
Spotlight,spotlight--6120437,43.0,430.0
Inside Out,inside-out--6145206,52.0,520.0
The Martian,the-martian--6176851,82.0,820.0
Brooklyn,brooklyn--6234001,18.0,180.0
The Big Short,the-big-short--6167200,38.0,380.0
Carol,carol--6120422,14.0,140.0
Ex Machina,ex-machina--6080300,51.0,510.0
Interstellar,interstellar--5829727,466.0,4660.0
Transformers: Age of Extinction,transformers-age-of-extinction--5792875,19.0,190.0
Fifty Shades of Grey,fifty-shades-of-grey--5955203,100.0,1000.0
Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles--5770141,46.0,460.0
Ida,ida--5263215,22.0,220.0
Timbuktu,timbuktu--6129629,9.0,90.0
The Dark Knight Rises,the-dark-knight-rises--4898291,164.0,1640.0
The Twilight Saga: Breaking Dawn - Part 2,the-twilight-saga-breaking-dawn-part-2--4449663,7.0,70.0
The Hunt,the-hunt--5322463,19.0,190.0
Snow White and the Huntsman,snow-white-and-the-huntsman--2571907,14.0,140.0
Maleficent,maleficent--114115,14.0,140.0
The Amazing Spider-Man 2,the-amazing-spider-man-2--2970660,23.0,230.0
Pacific Rim,pacific-rim--857093,33.0,330.0
World War Z,world-war-z--1615578,60.0,600.0



