title,slug,page_count,estimated_entry_count
Slumdog Millionaire,slumdog-millionaire--3006935,51.0,510.0
The Curious Case of Benjamin Button,the-curious-case-of-benjamin-button--3067382,70.0,700.0
The Hurt Locker,the-hurt-locker--3309422,25.0,250.0
Avatar,avatar--3238275,120.0,1200.0
Inglourious Basterds,inglourious-basterds--3300782,81.0,810.0
The King's Speech,the-kings-speech--2517014,42.0,420.0
Black Swan,black-swan--3506541,106.0,1060.0
The Social Network,the-social-network--3439999,37.0,370.0
The Artist,the-artist--4047640,24.0,240.0
Drive,drive--3849324,54.0,540.0
Midnight in Paris,midnight-in-paris--3720789,74.0,740.0
The Help,the-help--3700044,17.0,170.0
Moneyball,moneyball--3754496,21.0,210.0
A Separation,a-separation--3798712,5.0,50.0
The Dark Knight,the-dark-knight--3117563,96.0,960.0
Inception,inception--3372705,175.0,1750.0
Transformers: Revenge of the Fallen,transformers-revenge-of-the-fallen--3290465,18.0,180.0
Twilight,twilight--3095796,57.0,570.0
The Last Airbender,the-last-airbender--3591947,42.0,420.0
A Prophet,a-prophet--3305575,13.0,130.0
Fish Tank,fish-tank--3448792,5.0,50.0
Incendies,incendies--3533803,76.0,760.0
Cars 2,cars-2--4304622,6.0,60.0
Fast Five,fast-five--4958406,14.0,140.0
Fast & Furious,fast-furious--285961,7.0,70.0
Pirates of the Caribbean: On Stranger Tides,pirates-of-the-caribbean-on-stranger-tides--4732001,19.0,190.0
Shutter Island,shutter-island--4898803,85.0,850.0
Harry Potter and the Deathly Hallows: Part 2,harry-potter-and-the-deathly-hallows-part-2--4468093,48.0,480.0
Toy Story 3,toy-story-3--4468809,16.0,160.0
How to Train Your Dragon,how-to-train-your-dragon--4207592,18.0,180.0
3 Idiots,3-idiots--4653921,81.0,810.0
Hachi: A Dog's Tale,hachi-a-dogs-tale--3228500,24.0,240.0
WALL·E,wall-e--1646008,55.0,550.0
